Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2024-08-01,1779.092529296875,1793.7855029159562,1771.8901142339544,1782.453656326238,7475014
2024-08-02,1748.9383544921875,1785.7187334567977,1744.0887987976403,1769.8734206834515,7400938
2024-08-05,1682.3880615234375,1726.1787193591779,1650.3613476722035,1714.1266318965754,10736703
2024-08-06,1681.619873046875,1725.6506144088735,1675.617860395926,1690.3587800212945,7690163
2024-08-07,1720.5609130859375,1726.5629255103806,1692.183351452448,1724.7382902879888,5094329
2024-08-08,1673.9853515625,1709.3251315403352,1658.572136260406,1709.3251315403352,6227910
2024-08-09,1700.4901123046875,1710.0933319139192,1686.325363381071,1700.9702732851492,4258524
2024-08-12,1726.082763671875,1731.9407043499043,1697.9452825491308,1702.698946723047,4315329
2024-08-13,1726.130615234375,1738.1827024097588,1718.0640047615366,1738.1827024097588,4176918
2024-08-14,1750.906982421875,1752.5875458219782,1726.1306294039184,1730.5001411349067,7450718
2024-08-16,1785.1904296875,1787.9753867685558,1756.9089953467567,1776.5955951852964,7335657
2024-08-19,1790.8084716796875,1793.449357119504,1775.8273550396493,1786.1988792940135,2585989
2024-08-20,1797.9146728515625,1810.8790189238414,1794.0733851264426,1805.405230806265,3870333
2024-08-21,1798.3948974609375,1804.4449727328276,1793.0171179008144,1800.6996936229339,1966902
2024-08-22,1805.6453857421875,1818.513723597305,1795.51394205871,1809.2465931329778,4300287
2024-08-23,1788.215576171875,1807.9021772094957,1783.3179574078772,1803.6767369560596,5015935
2024-08-26,1801.7081298828125,1813.8081635443523,1790.0401942272256,1795.8021261828926,3728589
2024-08-27,1824.707763671875,1827.2526403543604,1799.5473747842314,1801.7080992308468,3830679
2024-08-28,1862.1602783203125,1873.588133022963,1822.1148997127973,1831.2379582795415,6514531
2024-08-29,1856.6385498046875,1873.1080958565294,1844.6825875729226,1856.3024605437945,7228284
2024-08-30,1866.5777587890625,1872.6278340667684,1851.5007508106305,1861.1039704725115,13466759
2024-09-02,1886.5526123046875,1897.3562350526781,1865.7136713170646,1866.241778093103,5573739
2024-09-03,1864.2249755859375,1888.95326566776,1859.6153833595768,1888.95326566776,4694322
2024-09-04,1846.1708984375,1850.7324277310104,1824.6597803927025,1844.8744872415468,4778310
2024-09-05,1856.4464111328125,1863.0245930805459,1833.8307821972226,1849.8201661965988,4081810
2024-09-06,1826.3883056640625,1859.6634851962026,1821.5866958391305,1845.7388167038994,5848106
2024-09-09,1819.4739990234375,1844.634387126065,1814.0481565814205,1815.0084785277315,4772612
2024-09-10,1836.423828125,1858.2230908792164,1820.770532458395,1829.3174217997903,6909600
2024-09-11,1834.35888671875,1849.5799652721262,1829.4132055261682,1838.728280994298,5312946
2024-09-12,1873.06005859375,1878.774045014654,1834.9833838435984,1848.6199097939516,8555092
2024-09-13,1866.9619140625,1880.886582594913,1858.8472403257115,1873.0599351123685,3843127
2024-09-16,1872.867919921875,1874.548483367517,1856.3504289468578,1868.5464710616527,1570181
2024-09-17,1875.07666015625,1880.7424658489679,1865.0892884852562,1870.467067930622,2793127
2024-09-18,1817.0732421875,1861.8242226231127,1806.6537722399733,1861.8242226231127,6385468
2024-09-19,1819.041748046875,1848.5237015550497,1804.2528841458939,1834.7910511020839,7976570
2024-09-20,1830.1336669921875,1839.0166455673825,1793.305341425795,1829.4134254860905,15242974
2024-09-23,1821.2025146484375,1842.761812755645,1803.9167195535472,1833.2546020080952,3636672
2024-09-24,1823.2672119140625,1835.0792186672709,1797.1465020357018,1813.0878227950013,7277616
2024-09-25,1820.0982666015625,1826.1482246431408,1802.3323102544668,1811.5033146813457,4268341
2024-09-26,1824.8516845703125,1841.8493352545952,1817.8893508178405,1822.498942813643,8952803
2024-09-27,1831.093994140625,1896.2518191297418,1827.7809300940019,1855.438133669678,14908931
2024-09-30,1801.179931640625,1825.8122145485347,1796.282312853667,1805.40537191387,6986955
2024-10-01,1828.7890625,1833.2065199774477,1800.6036370139677,1800.6036370139677,4029072
2024-10-03,1818.273681640625,1835.9915754881,1806.3656655040093,1814.528402429466,7503887
2024-10-04,1842.04150390625,1876.565029844856,1811.1671309069884,1814.5763205944831,10001483
2024-10-07,1857.55078125,1864.9452133204372,1840.0249057901142,1846.8911139011777,6112575
2024-10-08,1871.2354736328125,1880.2624066206963,1830.7098150344227,1861.008020922201,5637391
2024-10-09,1875.2686767578125,1898.5564839074102,1867.9221904384558,1875.07665925967,4857163
2024-10-10,1842.8577880859375,1886.07227503949,1838.1521871723023,1880.2143346978125,4782119
2024-10-11,1858.3189697265625,1869.7468243014484,1834.3109211351211,1841.8974879353766,4709431
2024-10-14,1881.1746826171875,1891.354071794841,1854.477685639696,1855.4860705732615,3751378
2024-10-15,1881.558837890625,1912.433094709219,1874.3083602991192,1882.2310163628915,5353705
2024-10-16,1843.9141845703125,1881.7989564876755,1840.312977195666,1877.42944464905,3111512
2024-10-17,1890.0096435546875,1899.516854492198,1853.5654717255002,1858.415027332384,8162822
2024-10-18,1805.0211181640625,1859.9995499352583,1795.0818094027522,1818.6577602233042,10526196
2024-10-21,1779.2364501953125,1823.4593218230411,1765.071701772492,1816.0647726492866,4654601
2024-10-22,1778.132080078125,1803.2925852339904,1773.666559613223,1784.4701814346959,4125240
2024-10-23,1799.067138671875,1811.1671716222952,1770.8336503030287,1772.034052723245,4311910
2024-10-24,1789.4158935546875,1809.2465653946333,1786.198838446931,1787.5433126309072,2906475
2024-10-25,1788.1676025390625,1801.9001366151979,1773.1385399992107,1789.5119595392343,4689120
2024-10-28,1791.3365478515625,1807.2299232087717,1783.3178829165497,1785.9107053224764,7018940
2024-10-29,1786.4317626953125,1798.378144066303,1776.4277753656768,1792.9391324904534,4621252
2024-10-30,1750.3009033203125,1786.1402834543007,1744.716179758669,1779.3414895531696,5919715
2024-10-31,1706.7401123046875,1736.5091412479787,1696.2991072073619,1736.5091412479787,7395236
2024-11-01,1710.236572265625,1715.2385657478123,1701.6895882617994,1713.7816813488193,371966
2024-11-04,1712.956298828125,1716.2099839138373,1668.6184223904768,1674.9315887150042,7336722
2024-11-05,1703.77783203125,1717.6182349398387,1694.8423210868225,1709.4111662537578,3160880
2024-11-06,1771.280029296875,1774.6794262747362,1711.9849045771186,1713.296076841982,10421494
2024-11-07,1751.2237548828125,1773.22261567757,1735.6350435250165,1760.8390975998175,4550965
2024-11-08,1777.350341796875,1787.6942446562714,1761.0333078003775,1765.7438769390867,4210960
2024-11-11,1806.6337890625,1814.306737413767,1770.163186757311,1776.427742360696,3804234
2024-11-12,1815.0838623046875,1826.9331420105937,1807.5080155670998,1817.3176807087516,5012450
2024-11-13,1814.6953125,1819.3572716489662,1802.943134866599,1807.605094015565,4257495
2024-11-14,1810.9560546875,1822.0768923467604,1802.6517655626797,1811.9758027067253,4311431
2024-11-18,1759.3822021484375,1796.047127993138,1743.4050832115965,1796.047127993138,4839244
2024-11-19,1772.300048828125,1806.2454112988496,1768.2208195271305,1773.0284911005574,4669769
2024-11-21,1781.3326416015625,1813.3354888516371,1768.26917339711,1789.0540816629436,5436504
2024-11-22,1847.572265625,1859.0331371970146,1781.2840242640295,1800.80625185363,6301486
2024-11-25,1835.3829345703125,1864.1322151458903,1827.9043086809907,1860.9270220152914,12764638
2024-11-26,1868.8428955078125,1882.8775020849253,1842.764686697864,1850.1947027907097,6850495
2024-11-27,1869.182861328125,1885.5971174937745,1856.799342761259,1874.6218732216507,4447143
2024-11-28,1803.282958984375,1859.8586361338635,1798.4266776839897,1859.8586361338635,8468790
2024-11-29,1804.448486328125,1823.0480681141644,1791.9678666332622,1797.8925063282472,5244346
2024-12-02,1825.7677001953125,1828.6814691911163,1782.4495729417774,1805.5655210664468,2868263
2024-12-03,1837.714111328125,1845.1442460985531,1817.3663382733384,1832.7607276683614,4715792
2024-12-04,1834.946044921875,1858.9360291550868,1821.105642042353,1829.8469491241563,4705573
2024-12-05,1879.2352294921875,1893.8526842407528,1834.654541582606,1845.386971128795,9050038
2024-12-06,1867.1431884765625,1882.2461532385446,1857.4306251975142,1877.2442779990854,3573331
2024-12-09,1868.3572998046875,1874.7189577548504,1842.667498232043,1868.8914196597946,4274645
2024-12-10,1892.54150390625,1909.101352624084,1876.4671647750902,1883.2659588503623,6174921
2024-12-11,1917.4056396484375,1921.1449526741415,1895.8922889888395,1898.806057875605,5025612
2024-12-12,1929.8863525390625,1941.3472248051385,1913.9092331296335,1918.4254802729865,6462130
2024-12-13,1942.22119140625,1948.7771714843159,1897.6406217246506,1913.132112410419,5362693
2024-12-16,1923.1361083984375,1942.1240981650324,1920.7564592966078,1938.0933607570853,3119221
2024-12-17,1919.78515625,1925.029963920521,1901.7198129951464,1911.432375880719,5811050
2024-12-18,1922.261962890625,1927.8951783904936,1905.216367108079,1910.2669710918078,3064095
2024-12-19,1890.2589111328125,1903.4194810568974,1864.8120442042316,1878.4096320265542,5323592
2024-12-20,1866.900390625,1923.038935729017,1856.313672846486,1918.3769764514818,11056720
2024-12-23,1868.988525390625,1884.2372017118134,1854.1282567360063,1874.5732490554924,2781793
2024-12-24,1854.1768798828125,1886.1797274213886,1787.111585198432,1871.6594932162752,2360544
2024-12-26,1852.5743408203125,1864.5693327398988,1847.6209572676305,1854.1769374712999,3623321
2024-12-27,1861.655517578125,1868.8428379280153,1849.1748978049127,1854.5168074679777,3937500
2024-12-30,1851.214599609375,1860.9271630910612,1832.2751008200871,1860.6357387619842,7789055
2024-12-31,1825.9617919921875,1842.473148621904,1792.0164326986576,1837.9082915665463,3613063
2025-01-01,1828.389892578125,1838.5394729768454,1820.134214444306,1820.134214444306,1838368
2025-01-02,1901.5740966796875,1906.236174279187,1831.10952423594,1832.760612498252,7083645
2025-01-03,1883.0230712890625,1896.8148627360356,1866.754528958132,1896.8148627360356,6218003
2025-01-06,1882.1490478515625,1916.288731426852,1872.5821967516326,1895.8923485784164,7164403
2025-01-07,1875.3502197265625,1902.2540906114118,1868.357221729347,1889.0935202054077,4294832
2025-01-08,1877.5841064453125,1882.8774057609294,1834.460303784991,1874.5246254427705,5482050
2025-01-09,1862.1898193359375,1895.74665458795,1855.6338390718154,1878.4583629543145,6833503
2025-01-10,1910.4124755859375,1920.9507009797642,1876.709930393327,1881.3233976824297,8036913
2025-01-13,1905.799072265625,1925.8070469770787,1892.9785364775742,1899.7773306055078,5804152
2025-01-14,1884.285888671875,1915.1232771204202,1875.5930733895989,1912.2579998126723,5792162
2025-01-15,1893.60986328125,1901.7684398888914,1881.420549328485,1891.036010381721,2985439
2025-01-16,1873.0191650390625,1910.41253260361,1861.7526156669912,1909.4412763032324,7533579
2025-01-17,1763.2672119140625,1804.5942151264314,1759.9164250856263,1797.7954209897873,16409953
2025-01-20,1761.1790771484375,1775.407886940151,1741.6082392029957,1770.5516054927243,4333011
2025-01-21,1748.941162109375,1779.0016155615642,1741.5111463055791,1766.7638099629812,7169109
2025-01-22,1803.0887451171875,1812.1700865447272,1753.2633671133483,1755.448693830049,8373913
2025-01-23,1811.8299560546875,1825.5247642701754,1799.446438649042,1804.5941442893445,5907471
2025-01-24,1821.5426025390625,1840.4336089404926,1810.6645792715367,1811.8786496612856,4887027
2025-01-27,1769.62890625,1809.4504129219265,1759.9163436470913,1795.6100112127813,7652371
2025-01-28,1777.15625,1809.9361507719634,1772.4456805643415,1777.3990640797924,6999495
2025-01-29,1827.1759033203125,1834.36322360914,1787.5972093347696,1791.9678626583263,5145155
2025-01-30,1806.4881591796875,1832.9548941080284,1790.9966681783667,1819.3088138415467,7336056
2025-01-31,1825.7677001953125,1842.910279604707,1817.2205970496623,1817.2205970496623,5820470
2025-02-01,1798.1353759765625,1836.2571867836969,1792.9391783431893,1826.2533177597818,1701402
2025-02-03,1809.741943359375,1822.6110895629577,1779.7300994439906,1783.2265984737837,4823228
2025-02-04,1844.2215576171875,1856.2650411997822,1821.1056096540206,1834.703198206104,7334787
2025-02-05,1842.5218505859375,1864.5207114002724,1839.8508957040453,1851.2145472314708,4996744
2025-02-06,1860.587158203125,1868.6971246106148,1845.3869733680706,1861.898330498206,4765255
2025-02-07,1848.93212890625,1868.405747107761,1835.14021793859,1864.13231412214,4126260
2025-02-10,1826.2532958984375,1850.2432794461592,1824.6020890265615,1850.2432794461592,3828734
2025-02-11,1821.7369384765625,1848.3007750893653,1816.249316561804,1828.9727506286142,4411601
2025-02-12,1809.59619140625,1840.142154487476,1793.9103785152583,1830.8181177592105,5633947
2025-02-13,1790.2681884765625,1819.6486917731397,1782.8866642532057,1814.7924102365155,5237744
2025-02-14,1803.0401611328125,1805.8568280246752,1775.796375368045,1800.709122375355,5292961
2025-02-17,1789.3455810546875,1799.495162260814,1769.7747423270973,1785.7033698235564,4428956
2025-02-18,1798.7181396484375,1808.1393973263787,1784.780634818134,1789.3456107739096,4365260
2025-02-19,1758.7509765625,1796.0471240806544,1753.9917969230971,1794.2989338566194,4611411
2025-02-20,1772.6884765625,1778.3703022593725,1753.6518766132701,1753.6518766132701,2218020
2025-02-21,1762.8302001953125,1777.2533326664163,1754.2830972545896,1769.4347905187403,3379879
2025-02-24,1713.3931884765625,1756.0313630959042,1699.9413126430345,1748.309923055587,7594720
2025-02-25,1716.8896484375,1727.3306532632726,1694.987890846883,1694.987890846883,5092963
2025-02-27,1713.5875244140625,1724.8054634563641,1700.7668702151418,1704.748997302386,5757079
2025-02-28,1639.189208984375,1704.6519072727174,1634.0901134127998,1704.6034155946859,12182167
2025-03-03,1659.4884033203125,1678.9135283002097,1643.6569975986285,1643.6569975986285,7504969
2025-03-04,1639.7720947265625,1650.1644899401717,1621.9980566215932,1646.2794646548505,6759673
2025-03-05,1662.30517578125,1683.1385762213686,1643.8026956375877,1643.8026956375877,8180782
2025-03-06,1666.5301513671875,1672.794825837321,1642.4915571816716,1665.7046071983816,10610547
2025-03-07,1637.5382080078125,1655.9920786793123,1627.340016320931,1654.146667899849,8019331
2025-03-10,1652.5440673828125,1669.5896637303404,1628.01984457351,1637.5382042171923,7558981
2025-03-11,1613.8394775390625,1631.7106175387037,1589.995206020896,1631.7106175387037,12671234
2025-03-12,1545.123046875,1589.84944650162,1518.850635339536,1589.84944650162,14870008
2025-03-13,1534.439208984375,1559.886194636392,1525.163782654934,1553.2816045131979,7822888
2025-03-17,1544.34619140625,1548.1826065260266,1500.736758011993,1500.736758011993,7526032
2025-03-18,1544.34619140625,1544.34619140625,1544.34619140625,1544.34619140625,0
2025-03-19,1540.94677734375,1556.9238965430377,1527.5920028100838,1556.9238965430377,7387068
2025-03-20,1569.1131591796875,1584.9931759348294,1546.2400259441436,1546.2400259441436,7186750
2025-03-21,1546.7742919921875,1557.7980274559397,1518.7049607743006,1532.59385494289,10074677
2025-03-24,1546.968505859375,1560.9060103586978,1527.4947691913153,1552.0189913058653,8857726
2025-03-25,1581.6422119140625,1589.1209562659596,1558.8663000022038,1558.8663000022038,9890140
2025-03-26,1553.475830078125,1590.6749935166006,1549.1537869998338,1579.2627320763197,6651302
2025-03-27,1557.4581298828125,1573.3866387891755,1540.4125339270274,1549.688079270318,9426573
2025-03-28,1525.5037841796875,1552.504639118573,1515.1598805138667,1544.2975705237486,6799047
2025-04-01,1482.6226806640625,1502.92196020728,1474.2212903040318,1495.0061979771754,12680733
2025-04-02,1505.593017578125,1510.9349273715397,1491.0726643663595,1491.0726643663595,6193478
2025-04-03,1453.485107421875,1490.5385603678294,1442.3642697947264,1490.5385603678294,10459504
2025-04-04,1409.92431640625,1429.6893595876932,1406.3792069857197,1418.5199114659142,9590254
2025-04-07,1356.602294921875,1365.489314158466,1269.4320382766355,1313.1385736419368,21715252
2025-04-08,1387.7310791015625,1414.6348317731379,1374.3276944448953,1389.8677955834949,12805001
2025-04-09,1363.3524169921875,1368.9371407012397,1342.1791008495861,1364.663707842691,8546854
2025-04-11,1368.9371337890625,1397.4436008179698,1356.893650613513,1370.6854425398662,12567440
2025-04-15,1385.011474609375,1406.087688754894,1368.5001176189407,1404.0480742507405,10178530
2025-04-16,1372.482177734375,1386.4682913913693,1356.6507720589223,1384.0401507759727,12022740
2025-04-17,1378.6983642578125,1388.7023519091767,1338.6826507754836,1357.8163531049115,14264227
2025-04-21,1409.29296875,1429.4951483248678,1369.4714582615436,1369.4714582615436,15648970
2025-04-22,1381.903564453125,1398.6091260339042,1378.5041672717928,1398.6091260339042,9399738
